Order_ID,Product_ID,User_ID,Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Return_Reason,Days_to_Return,Order_Value,Return_Cost,Profit_Loss,CO2_Emissions,Packaging_Waste,CO2_Saved,Waste_Avoided
ORD00052,PROD0296,USER1140,2023-04-07,Electronics,983.36,5,10.14,Standard,Credit Card,60,Male,City69,Not Returned,No Return,0,4418.23648,0,4418.23648,1.0,1.0,1.0,1.0
ORD00053,PROD0152,USER0822,2022-12-04,Clothing,132.08,5,13.64,Standard,Credit Card,60,Female,City46,Not Returned,No Return,0,570.32144,0,570.32144,1.0,1.0,1.0,1.0
ORD00054,PROD0306,USER1021,2022-01-18,Electronics,635.55,3,6.34,Express,Debit Card,48,Female,City41,Not Returned,No Return,0,1785.76839,0,1785.76839,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00055,PROD0068,USER1394,2024-12-03,Toys,275.08,1,6.97,Express,Debit Card,21,Female,City95,Not Returned,No Return,0,255.906924,0,255.906924,1.5,0.2,1.5,0.2
ORD00056,PROD0353,USER1235,2023-09-01,Books,1497.49,4,17.06,Express,Debit Card,37,Male,City14,Not Returned,No Return,0,4968.072824,0,4968.072824,1.5,0.8,1.5,0.8
ORD00057,PROD0484,USER1000,2023-08-06,Books,945.39,2,48.79,Standard,Credit Card,19,Male,City45,Not Returned,No Return,0,968.268438,0,968.268438,1.0,0.4,1.0,0.4
ORD00058,PROD0394,USER1053,2025-08-14,Electronics,494.88,3,49.44,Standard,Wallet,28,Female,City9,Returned,Changed Mind,12,750.633984,200,550.633984,1.0,0.6000000000000001,0.0,0.0
ORD00059,PROD0152,USER0806,2025-05-05,Home Appliances,279.18,2,48.36,Express,COD,30,Female,City93,Not Returned,No Return,0,288.337104,0,288.337104,1.5,0.4,1.5,0.4
ORD00060,PROD0098,USER0980,2025-03-21,Clothing,1156.2,1,21.78,Next-Day,COD,41,Male,City12,Not Returned,No Return,0,904.37964,0,904.37964,2.0,0.2,2.0,0.2
ORD00061,PROD0060,USER0345,2022-03-25,Electronics,1570.79,5,46.56,Express,COD,26,Male,City25,Not Returned,No Return,0,4197.15088,0,4197.15088,1.5,1.0,1.5,1.0
ORD00062,PROD0354,USER0802,2025-06-06,Home Appliances,126.54,1,37.63,Next-Day,Credit Card,24,Female,City70,Not Returned,No Return,0,78.92299799999999,0,78.92299799999999,2.0,0.2,2.0,0.2
ORD00063,PROD0251,USER1997,2022-06-24,Electronics,1058.27,3,16.36,Standard,Wallet,30,Female,City47,Not Returned,No Return,0,2655.411084,0,2655.411084,1.0,0.6000000000000001,1.0,0.6000000000000001
ORD00064,PROD0217,USER0542,2025-01-23,Toys,1448.92,3,48.41,Standard,Debit Card,39,Female,City77,Returned,Defective,22,2242.493484,200,2042.493484,1.0,0.6000000000000001,0.0,0.0
ORD00065,PROD0335,USER0174,2024-03-17,Clothing,630.87,2,28.85,Standard,Debit Card,28,Female,City95,Not Returned,No Return,0,897.72801,0,897.72801,1.0,0.4,1.0,0.4
ORD00066,PROD0012,USER0717,2022-06-02,Toys,1716.19,1,20.92,Next-Day,Wallet,24,Male,City96,Not Returned,No Return,0,1357.1630519999999,0,1357.1630519999999,2.0,0.2,2.0,0.2
ORD00067,PROD0423,USER0554,2024-03-16,Electronics,480.72,1,4.58,Next-Day,Debit Card,64,Female,City63,Returned,Defective,33,458.703024,200,258.703024,2.0,0.2,0.0,0.0
ORD00068,PROD0398,USER1020,2024-03-09,Electronics,1600.22,4,22.26,Next-Day,Credit Card,40,Female,City99,Returned,Wrong Item,31,4976.044112,200,4776.044112,2.0,0.8,0.0,0.0
ORD00069,PROD0500,USER1931,2022-09-28,Electronics,649.78,2,22.75,Express,Debit Card,46,Male,City45,Not Returned,No Return,0,1003.9100999999999,0,1003.9100999999999,1.5,0.4,1.5,0.4
ORD00070,PROD0189,USER0720,2024-07-14,Clothing,775.21,3,6.07,Standard,Debit Card,38,Male,City84,Not Returned,No Return,0,2184.4642590000003,0,2184.4642590000003,1.0,0.6000000000000001,1.0,0.6000000000000001
ORD00071,PROD0141,USER1429,2023-06-05,Clothing,1822.0,2,9.2,Next-Day,Credit Card,59,Male,City4,Not Returned,No Return,0,3308.752,0,3308.752,2.0,0.4,2.0,0.4
ORD00072,PROD0456,USER0595,2024-08-19,Clothing,557.77,2,34.84,Next-Day,COD,27,Male,City62,Returned,Defective,58,726.885864,200,526.885864,2.0,0.4,0.0,0.0
ORD00073,PROD0052,USER0643,2023-07-08,Clothing,170.45,4,29.79,Standard,COD,31,Male,City36,Not Returned,No Return,0,478.69177999999994,0,478.69177999999994,1.0,0.8,1.0,0.8
ORD00074,PROD0340,USER1369,2024-01-25,Clothing,1966.37,3,40.0,Next-Day,Debit Card,51,Female,City59,Not Returned,No Return,0,3539.466,0,3539.466,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00075,PROD0096,USER0161,2025-06-16,Toys,1709.0,3,44.94,Standard,Wallet,31,Male,City62,Returned,Wrong Item,51,2822.9262,200,2622.9262,1.0,0.6000000000000001,0.0,0.0
ORD00076,PROD0336,USER0285,2022-11-13,Toys,1371.61,5,36.03,Next-Day,Credit Card,42,Female,City11,Not Returned,No Return,0,4387.094584999999,0,4387.094584999999,2.0,1.0,2.0,1.0
ORD00077,PROD0101,USER1541,2024-08-15,Toys,1878.54,3,11.75,Standard,COD,27,Female,City6,Not Returned,No Return,0,4973.43465,0,4973.43465,1.0,0.6000000000000001,1.0,0.6000000000000001
ORD00078,PROD0287,USER0117,2022-03-29,Clothing,313.01,4,46.58,Express,Credit Card,39,Female,City63,Not Returned,No Return,0,668.8397679999999,0,668.8397679999999,1.5,0.8,1.5,0.8
ORD00079,PROD0168,USER0144,2022-05-17,Electronics,143.57,5,29.55,Express,Debit Card,64,Female,City4,Returned,Defective,27,505.72532499999994,200,305.72532499999994,1.5,1.0,0.0,0.0
ORD00080,PROD0111,USER0274,2022-12-08,Books,1904.3,5,34.48,Express,COD,63,Male,City80,Not Returned,No Return,0,6238.4868,0,6238.4868,1.5,1.0,1.5,1.0
ORD00081,PROD0342,USER1757,2023-12-06,Toys,1655.42,2,25.34,Next-Day,Wallet,44,Male,City14,Not Returned,No Return,0,2471.8731439999997,0,2471.8731439999997,2.0,0.4,2.0,0.4
ORD00082,PROD0459,USER1534,2024-01-25,Toys,1890.86,3,36.7,Express,Credit Card,45,Female,City19,Not Returned,No Return,0,3590.74314,0,3590.74314,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00083,PROD0266,USER0946,2024-01-16,Clothing,1665.49,2,42.06,Standard,Wallet,18,Female,City75,Not Returned,No Return,0,1929.9698119999998,0,1929.9698119999998,1.0,0.4,1.0,0.4
ORD00084,PROD0103,USER1363,2023-08-19,Home Appliances,1750.42,5,20.87,Express,Debit Card,24,Male,City48,Not Returned,No Return,0,6925.536730000001,0,6925.536730000001,1.5,1.0,1.5,1.0
ORD00085,PROD0125,USER0849,2022-04-01,Electronics,1438.49,4,30.91,Standard,Wallet,38,Female,City11,Returned,Wrong Item,59,3975.4109640000006,200,3775.4109640000006,1.0,0.8,0.0,0.0
ORD00086,PROD0154,USER0452,2024-08-10,Clothing,1206.67,5,38.53,Next-Day,Credit Card,21,Female,City61,Not Returned,No Return,0,3708.7002450000005,0,3708.7002450000005,2.0,1.0,2.0,1.0
ORD00087,PROD0137,USER0245,2025-05-15,Home Appliances,426.66,4,41.82,Express,Debit Card,46,Male,City33,Returned,Defective,14,992.9231520000001,200,792.9231520000001,1.5,0.8,0.0,0.0
ORD00088,PROD0190,USER1957,2023-02-05,Books,1038.75,5,47.62,Standard,Credit Card,46,Male,City77,Not Returned,No Return,0,2720.4862500000004,0,2720.4862500000004,1.0,1.0,1.0,1.0
ORD00089,PROD0240,USER1852,2023-08-18,Books,1648.31,2,9.04,Standard,Debit Card,47,Female,City39,Not Returned,No Return,0,2998.605552,0,2998.605552,1.0,0.4,1.0,0.4
ORD00090,PROD0125,USER1125,2025-05-24,Clothing,1615.58,3,4.77,Next-Day,Wallet,18,Male,City10,Not Returned,No Return,0,4615.550502,0,4615.550502,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00091,PROD0152,USER1865,2023-12-24,Clothing,1866.57,2,1.31,Standard,Debit Card,36,Female,City39,Not Returned,No Return,0,3684.235866,0,3684.235866,1.0,0.4,1.0,0.4
ORD00092,PROD0346,USER0921,2024-08-29,Electronics,1820.22,3,15.38,Standard,Wallet,65,Female,City59,Not Returned,No Return,0,4620.810492,0,4620.810492,1.0,0.6000000000000001,1.0,0.6000000000000001
ORD00093,PROD0219,USER0259,2022-06-07,Electronics,1122.53,5,3.93,Express,Debit Card,42,Male,City30,Not Returned,No Return,0,5392.072854999999,0,5392.072854999999,1.5,1.0,1.5,1.0
ORD00094,PROD0484,USER1609,2023-09-19,Toys,952.26,5,41.84,Next-Day,Debit Card,52,Female,City65,Not Returned,No Return,0,2769.17208,0,2769.17208,2.0,1.0,2.0,1.0
ORD00095,PROD0383,USER1546,2023-09-21,Home Appliances,1242.99,4,1.98,Next-Day,Credit Card,36,Female,City91,Returned,Changed Mind,30,4873.515192,200,4673.515192,2.0,0.8,0.0,0.0
ORD00096,PROD0208,USER1184,2024-01-15,Clothing,1409.6,2,25.8,Express,Wallet,34,Female,City16,Not Returned,No Return,0,2091.8464,0,2091.8464,1.5,0.4,1.5,0.4
ORD00097,PROD0239,USER1150,2024-07-06,Toys,1461.39,2,47.75,Standard,Debit Card,65,Male,City44,Returned,Defective,21,1527.15255,200,1327.15255,1.0,0.4,0.0,0.0
ORD00098,PROD0159,USER1026,2022-01-12,Home Appliances,413.56,2,19.87,Express,Credit Card,47,Male,City12,Not Returned,No Return,0,662.771256,0,662.771256,1.5,0.4,1.5,0.4
ORD00099,PROD0170,USER0524,2023-09-27,Clothing,1941.29,1,31.5,Standard,Debit Card,56,Female,City59,Returned,Size Issue,15,1329.78365,200,1129.78365,1.0,0.2,0.0,0.0
ORD00100,PROD0112,USER1725,2022-10-31,Electronics,187.65,4,24.02,Express,Wallet,59,Female,City30,Not Returned,No Return,0,570.30588,0,570.30588,1.5,0.8,1.5,0.8
ORD00101,PROD0273,USER1274,2022-01-12,Home Appliances,1304.58,1,19.55,Standard,Wallet,65,Female,City79,Not Returned,No Return,0,1049.53461,0,1049.53461,1.0,0.2,1.0,0.2
ORD00102,PROD0476,USER0881,2024-07-03,Electronics,1808.6,3,14.58,Next-Day,COD,57,Male,City13,Not Returned,No Return,0,4634.718359999999,0,4634.718359999999,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00103,PROD0128,USER1926,2025-06-20,Toys,1118.9,5,38.64,Standard,Credit Card,50,Female,City44,Not Returned,No Return,0,3432.7851999999993,0,3432.7851999999993,1.0,1.0,1.0,1.0
ORD00104,PROD0379,USER1580,2024-01-15,Clothing,1522.67,2,8.37,Standard,Debit Card,30,Male,City83,Not Returned,No Return,0,2790.4450420000003,0,2790.4450420000003,1.0,0.4,1.0,0.4
ORD00105,PROD0325,USER0542,2025-07-13,Clothing,747.44,5,28.04,Express,Wallet,61,Female,City72,Not Returned,No Return,0,2689.2891200000004,0,2689.2891200000004,1.5,1.0,1.5,1.0
ORD00106,PROD0219,USER0224,2023-04-26,Books,859.32,2,27.85,Next-Day,Debit Card,24,Female,City86,Not Returned,No Return,0,1239.9987600000002,0,1239.9987600000002,2.0,0.4,2.0,0.4
ORD00107,PROD0282,USER1025,2025-01-08,Electronics,645.7,2,49.95,Next-Day,Wallet,59,Male,City59,Not Returned,No Return,0,646.3457,0,646.3457,2.0,0.4,2.0,0.4
ORD00108,PROD0152,USER1311,2023-08-14,Electronics,1279.89,3,47.92,Next-Day,Credit Card,65,Male,City4,Returned,Wrong Item,57,1999.7001359999997,200,1799.7001359999997,2.0,0.6000000000000001,0.0,0.0
ORD00109,PROD0290,USER1588,2022-01-13,Clothing,1074.14,4,37.59,Standard,Wallet,53,Male,City15,Returned,Size Issue,40,2681.4830960000004,200,2481.4830960000004,1.0,0.8,0.0,0.0
ORD00110,PROD0355,USER0594,2022-01-26,Home Appliances,1908.74,4,32.64,Express,Debit Card,56,Female,City22,Returned,Wrong Item,8,5142.9090559999995,200,4942.9090559999995,1.5,0.8,0.0,0.0
ORD00111,PROD0046,USER0085,2025-04-06,Clothing,736.43,5,27.77,Next-Day,Credit Card,29,Female,City14,Returned,Wrong Item,22,2659.6169449999993,200,2459.6169449999993,2.0,1.0,0.0,0.0
ORD00112,PROD0106,USER1545,2022-06-02,Clothing,1257.67,3,19.47,Express,Wallet,65,Male,City70,Not Returned,No Return,0,3038.404953,0,3038.404953,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00113,PROD0161,USER1768,2025-02-20,Clothing,685.74,3,44.47,Express,Credit Card,60,Male,City82,Returned,Changed Mind,29,1142.3742660000003,200,942.3742660000003,1.5,0.6000000000000001,0.0,0.0
ORD00114,PROD0485,USER0047,2023-05-06,Toys,750.17,2,18.38,Next-Day,Debit Card,38,Female,City55,Not Returned,No Return,0,1224.577508,0,1224.577508,2.0,0.4,2.0,0.4
ORD00115,PROD0433,USER0795,2022-03-29,Clothing,1654.14,3,15.78,Express,Debit Card,43,Female,City93,Not Returned,No Return,0,4179.3501240000005,0,4179.3501240000005,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00116,PROD0155,USER0521,2022-03-15,Clothing,1146.16,2,27.91,Next-Day,Credit Card,19,Male,City14,Returned,Size Issue,23,1652.533488,200,1452.533488,2.0,0.4,0.0,0.0
ORD00117,PROD0185,USER0654,2023-01-30,Electronics,1442.53,3,30.21,Express,Debit Card,35,Female,City77,Not Returned,No Return,0,3020.225061,0,3020.225061,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00118,PROD0114,USER1350,2025-01-15,Electronics,617.39,3,49.48,Standard,COD,42,Female,City25,Not Returned,No Return,0,935.7162840000002,0,935.7162840000002,1.0,0.6000000000000001,1.0,0.6000000000000001
ORD00119,PROD0364,USER0784,2023-04-05,Clothing,458.97,3,5.78,Next-Day,Wallet,57,Female,City86,Returned,Wrong Item,57,1297.3246020000001,200,1097.3246020000001,2.0,0.6000000000000001,0.0,0.0
ORD00120,PROD0105,USER0041,2022-04-04,Toys,532.51,5,10.6,Standard,Credit Card,50,Male,City17,Returned,Wrong Item,24,2380.3197,200,2180.3197,1.0,1.0,0.0,0.0
ORD00121,PROD0093,USER1529,2022-06-21,Clothing,1331.15,2,48.6,Express,COD,22,Male,City81,Returned,Size Issue,30,1368.4222000000002,200,1168.4222000000002,1.5,0.4,0.0,0.0
ORD00122,PROD0250,USER0296,2024-05-17,Clothing,946.7,5,14.76,Express,COD,62,Female,City66,Returned,Changed Mind,52,4034.8354000000004,200,3834.8354000000004,1.5,1.0,0.0,0.0
ORD00123,PROD0428,USER0763,2023-10-16,Clothing,417.32,3,28.66,Standard,Debit Card,31,Female,City30,Returned,Size Issue,15,893.148264,200,693.148264,1.0,0.6000000000000001,0.0,0.0
ORD00124,PROD0176,USER1165,2022-12-24,Clothing,188.14,5,2.45,Next-Day,Debit Card,37,Male,City8,Not Returned,No Return,0,917.65285,0,917.65285,2.0,1.0,2.0,1.0
ORD00125,PROD0430,USER1987,2023-01-30,Books,473.42,2,33.85,Standard,Credit Card,36,Female,City70,Returned,Size Issue,24,626.33466,200,426.33466,1.0,0.4,0.0,0.0
ORD00126,PROD0218,USER0684,2023-04-19,Books,1585.84,2,34.48,Express,COD,56,Female,City7,Returned,Defective,11,2078.084736,200,1878.0847359999998,1.5,0.4,0.0,0.0
ORD00127,PROD0295,USER0483,2024-11-09,Electronics,1906.78,3,16.73,Next-Day,Debit Card,63,Male,City90,Not Returned,No Return,0,4763.327118,0,4763.327118,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00128,PROD0218,USER1519,2023-12-24,Books,588.43,2,33.0,Standard,Wallet,37,Female,City91,Not Returned,No Return,0,788.4961999999998,0,788.4961999999998,1.0,0.4,1.0,0.4
ORD00129,PROD0230,USER1376,2022-04-12,Electronics,1520.1,5,13.51,Next-Day,Debit Card,60,Female,City28,Not Returned,No Return,0,6573.67245,0,6573.67245,2.0,1.0,2.0,1.0
ORD00130,PROD0496,USER0863,2023-03-08,Electronics,914.71,4,35.98,Standard,Credit Card,33,Female,City23,Returned,Size Issue,52,2342.3893680000006,200,2142.3893680000006,1.0,0.8,0.0,0.0
ORD00131,PROD0429,USER1215,2022-03-25,Toys,563.93,4,25.26,Express,Wallet,31,Female,City89,Not Returned,No Return,0,1685.925128,0,1685.925128,1.5,0.8,1.5,0.8
ORD00132,PROD0140,USER1316,2022-09-12,Clothing,1812.29,2,27.18,Standard,Credit Card,30,Male,City72,Not Returned,No Return,0,2639.419156,0,2639.419156,1.0,0.4,1.0,0.4
